author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Monumental Group;real_estate_agent;https://www.cian.ru/sale/flat/306318054/;Москва;sale;flat;2;8;4;181.5;170000000;2005;-1;-1;-1;-1;-1;15 м²;+79660480820;Хамовники;7-й Ростовский переулок;15;Киевская;
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/294814361/;Москва;sale;flat;4;6;4;190.6;217080000;2019;-1;-1;-1;-1;174,9 м²;-1;+79165760980;Раменки;Минская ;2Вк3;Минская;Снегири Эко
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304843142/;Москва;sale;flat;4;8;4;185.0;228750000;1998;-1;-1;-1;-1;-1;20 м²;+79684858420;Хамовники; Остоженка;25;Парк Культуры;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299368091/;Москва;sale;flat;14;15;4;220.0;376708020;-1;-1;-1;-1;-1;114 м²;28 м²;+79160239691;Дорогомилово;Студенческая ;20к1;Студенческая;Студенческая 20
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/308231220/;Москва;sale;flat;21;52;4;133.3;75000000;2020;-1;-1;-1;-1;-1;-1;+79672089624;Раменки;Мичуринский проспект;56;Раменки;Небо — Небоскребы на Мичуринском, 56
