author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Tekta Group;developer;https://www.cian.ru/sale/flat/301260300/;Москва;sale;flat;4;32;4;95.8;49384900;2026;-1;Монолитный;-1;Без отделки, предчистовая;69,2 м²;-1;+74951374375;Даниловский;;2;Павелецкая;Эра ЖК
MR Group;developer;https://www.cian.ru/sale/flat/307959994/;Москва;sale;flat;13;15;4;115.4;49461392;2026;-1;Монолитно-кирпичный;-1;Предчистовая;-1;-1;+74951387212;Покровское-Стрешнево;Клифф 5 кв-л;1;Трикотажная;City Bay
Forma;developer;https://www.cian.ru/sale/flat/306957856/;Москва;sale;flat;22;29;4;109.9;49476980;2026;-1;-1;-1;Без отделки;52,9 м²;-1;+74951374358;Аэропорт;Часовая ;28к8;Сокол;SOUL
Минские холмы;developer;https://www.cian.ru/sale/flat/300673184/;Москва;sale;flat;27;52;4;114.6;49195944;2024;-1;Монолитный;-1;Без отделки;74,9 м²;5 м²;+74951374902;Раменки;проспект Генерала Дорохова;вл1к1;Раменки;Will Towers
ЛСР;developer;https://www.cian.ru/sale/flat/300855869/;Москва;sale;flat;8;16;4;102.0;50818134;2023;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая;60,8 м²;18,4 м²;+74951378798;Даниловский; Архитектора Щусева;4к2;ЗИЛ;ЗИЛАРТ
