author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
INGRAD;developer;https://www.cian.ru/sale/flat/308725637/;Москва;sale;flat;14;33;4;93.5;32846114;2027;-1;Монолитный;-1;Без отделки, предчистовая;-1;27,1 м²;+74951375512;Войковский;;;Балтийская;Инджой ЖК
КОРТРОС;developer;https://www.cian.ru/sale/flat/307707075/;Москва;sale;flat;2;26;4;75.3;32755500;2024;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;56,5 м²;-1;+74951375236;Останкинский;;;Алексеевская;АйЛав ЖК
Азбука Жилья;real_estate_agent;https://www.cian.ru/sale/flat/305346743/;Москва;sale;flat;6;17;4;130.1;33300000;-1;-1;-1;-1;-1;80 м²;18 м²;+79162746082;; Лазурная;14;Новомосковская;
Центр-Инвест;developer;https://www.cian.ru/sale/flat/308398502/;Москва;sale;flat;3;35;4;92.4;33576108;2025;-1;-1;-1;Без отделки;59,2 м²;8,3 м²;+74951387027;Левобережный;Фестивальная ;15к6;Речной вокзал;Фестиваль парк-2
А101;developer;https://www.cian.ru/sale/flat/306740259/;Москва;sale;flat;21;21;4;165.6;35600589;2023;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;62,7 м²;17,1 м²;+74951374502;Южное Бутово;Бартеневская ;18к2;Бульвар Адмирала Ушакова;Южные сады
