author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
А101;developer;https://www.cian.ru/sale/flat/306748447/;Москва;sale;flat;12;19;4;78.5;14941612;2025;-1;-1;-1;Без отделки;47,1 м²;20,8 м²;+74951344536;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743436/;Москва;sale;flat;12;24;4;65.9;14811235;2025;-1;-1;-1;Без отделки;32,8 м²;16,8 м²;+74951374415;;;3.1;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/308314072/;Москва;sale;flat;3;13;4;66.1;14922339;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;41,3 м²;16,6 м²;+74951379021;;;18.1.4;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/308314418/;Москва;sale;flat;2;18;4;66.5;14816865;2026;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;43,2 м²;17 м²;+74951379021;;;18.2.6;Бунинская аллея;Скандинавия ЖК
ВЫБОР;developer;https://www.cian.ru/sale/flat/300605510/;Москва;sale;flat;2;19;4;78.4;16714880;2026;-1;-1;-1;Неизвестно;48,6 м²;8 м²;+74951377013;;;;;Академик
