author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
А101;developer;https://www.cian.ru/sale/flat/306740652/;Москва;sale;flat;9;22;4;83.3;18181974;2026;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;39,4 м²;20,2 м²;+74951374502;Южное Бутово; Бунинская Аллея;;Бунинская аллея;Южные сады
;;https://www.cian.ru/sale/flat/301359327/;Москва;sale;flat;12;25;4;73.44;18257184;2025;-1;Монолитный;-1;Чистовая;-1;-1;+78005116552;Люблино;Юго-Восточный ао;к26;Перерва;Светлый Мир Станция Л ЖК
А101;developer;https://www.cian.ru/sale/flat/306739186/;Москва;sale;flat;9;17;4;78.3;18202542;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;36,8 м²;18,4 м²;+74951379021;;;25.6;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/306738500/;Москва;sale;flat;2;14;4;71.9;18226650;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;47,5 м²;19,4 м²;+74951379021;;;25.1;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/306738871/;Москва;sale;flat;4;17;4;78.5;19517769;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, предчистовая, черновая, чистовая;47 м²;21,8 м²;+74951379021;;;25.3;Бунинская аллея;Скандинавия ЖК
