author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308249744/;Москва;sale;flat;13;13;4;140.2;105000000;-1;-1;-1;-1;-1;88,3 м²;13,4 м²;+79660644148;Раменки;Мичуринский проспект;3;Ломоносовский проспект;Квартал Шуваловский
Аврора Проперти;real_estate_agent;https://www.cian.ru/sale/flat/308888719/;Москва;sale;flat;3;5;4;123.0;110000000;2017;-1;-1;-1;-1;-1;15 м²;+79652530061;Басманный; Машкова;13С1;Красные ворота;Современник
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/303617317/;Москва;sale;flat;7;8;4;199.8;110000000;2001;-1;-1;-1;-1;-1;50 м²;+79057198567;Тверской;Сущевская ;31;Менделеевская;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/297256666/;Москва;sale;flat;4;6;4;192.0;115000000;1913;-1;-1;-1;-1;-1;16,7 м²;+79623676737;Тверской; Малая Дмитровка;23/15С1;Пушкинская;
Smolenka Estate;real_estate_agent;https://www.cian.ru/sale/flat/286484906/;Москва;sale;flat;2;8;4;125.8;176120000;2006;-1;-1;-1;-1;80 м²;16,5 м²;+79855260101;Пресненский;Большой Палашевский переулок;10;Пушкинская;Большой Палашевский 10
