author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Tekta Group;developer;https://www.cian.ru/sale/flat/303224378/;Москва;sale;flat;11;34;4;99.5;45063550;2025;-1;Монолитный;-1;Без отделки, предчистовая;61,8 м²;-1;+74951387095;Обручевский;;;Воронцовская;Эвер ЖК
Tekta Group;developer;https://www.cian.ru/sale/flat/303506209/;Москва;sale;flat;22;22;4;112.2;45227820;2026;-1;Монолитно-кирпичный;-1;Без отделки;73,4 м²;-1;+74951379105;Нагорный;;1;Нагорная;Твелв ЖК
Tekta Group;developer;https://www.cian.ru/sale/flat/301425669/;Москва;sale;flat;33;34;4;110.0;45386000;2026;-1;Монолитно-кирпичный;-1;Без отделки;76 м²;-1;+74951379105;Нагорный;;2;Нагорная;Твелв ЖК
Tekta Group;developer;https://www.cian.ru/sale/flat/306660446/;Москва;sale;flat;4;34;4;99.4;45167360;2025;-1;Монолитный;-1;Без отделки, предчистовая;61,7 м²;-1;+74951387095;Обручевский;;;Воронцовская;Эвер ЖК
DAR;developer;https://www.cian.ru/sale/flat/308965707/;Москва;sale;flat;34;44;4;106.2;47365200;2028;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;-1;-1;+74951370305;Щукино; Маршала Бирюзова;1к1;Октябрьское поле;Rakurs
