author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
А101;developer;https://www.cian.ru/sale/flat/306740983/;Москва;sale;flat;23;23;4;159.7;36844754;2023;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;57,7 м²;20,1 м²;+74951374502;Южное Бутово;Бартеневская ;18к2;Бульвар Адмирала Ушакова;Южные сады
ELSTATE;real_estate_agent;https://www.cian.ru/sale/flat/308233343/;Москва;sale;flat;2;23;4;127.7;36999999;2003;-1;-1;-1;-1;-1;26,3 м²;+79197768495;Теплый Стан; Островитянова;4;Тропарёво;
Основа;developer;https://www.cian.ru/sale/flat/297432124/;Москва;sale;flat;2;31;4;90.3;37474500;2024;-1;Монолитно-кирпичный;-1;Без отделки, черновая;70,8 м²;14,5 м²;+74951374125;Марфино;Ботаническая ;29Ак3;Владыкино;VERY
Level Group;developer;https://www.cian.ru/sale/flat/308704620/;Москва;sale;flat;3;17;4;95.8;37360215;2025;-1;Монолитный;-1;Без отделки, предчистовая, чистовая;51,6 м²;21,7 м²;+74951387045;Басманный;Большая Почтовая ;;Электрозаводская;Level Бауманская
