author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/302359178/;Москва;sale;flat;25;31;3;73.91;29700000;2022;-1;-1;-1;-1;41,9 м²;27 м²;+79057721398;Раменки; Лобачевского;120к1;Аминьевская;Крылья
MR Group;developer;https://www.cian.ru/sale/flat/308416266/;Москва;sale;flat;8;44;3;85.19;39383337;2024;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387065;Марьина роща; 4-я Марьиной рощи;12К3;Марьина Роща;Mod
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/307532779/;Москва;sale;flat;10;34;3;84.0;75000000;2023;-1;-1;-1;-1;-1;10 м²;+79660605295;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/306834640/;Москва;sale;flat;10;33;3;113.9;47000000;2007;-1;-1;-1;-1;71 м²;10 м²;+79060406184;Тропарево-Никулино;проспект Вернадского;105к4;Юго-Западная;
Regions Development;developer;https://www.cian.ru/sale/flat/308071743/;Москва;sale;flat;2;16;3;62.45;27610643;2027;-1;Монолитно-кирпичный;-1;Без отделки;57,5 м²;-1;+74951370547;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
Основа;developer;https://www.cian.ru/sale/flat/286346554/;Москва;sale;flat;2;29;3;56.8;17892000;2025;-1;Монолитный;-1;Без отделки, предчистовая, черновая, чистовая;43,6 м²;8,2 м²;+74951377247;Черемушки; Наметкина;вл10;Новые Черёмушки;Nametkin Tower
TOUCH;developer;https://www.cian.ru/sale/flat/305610661/;Москва;sale;flat;4;27;3;88.68;59872000;2027;-1;-1;-1;Без отделки;52,2 м²;22,4 м²;+74951377312;Крылатское;Крылатская ;23;Молодёжная;Дом Горизонтов
Донстрой;developer;https://www.cian.ru/sale/flat/308968759/;Москва;sale;flat;3;11;3;125.9;208163060;2026;-1;Монолитно-кирпичный;-1;Без отделки;42,4 м²;34,2 м²;+74951387076;Хамовники;531-й кв-л;;Спортивная;Дом 22 ЖК
Времена года;real_estate_agent;https://www.cian.ru/sale/flat/307307503/;Москва;sale;flat;8;21;3;105.4;80000000;-1;-1;-1;-1;-1;57,3 м²;14,9 м²;+79645665850;Раменки;Мосфильмовская ;88к2с6;Раменки;Мосфильмовский
