author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/307195727/;Москва;sale;flat;15;30;3;74.9;26936362;2025;-1;Монолитный;-1;Без отделки, предчистовая;41,3 м²;14,2 м²;+74951387040;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/247174958/;Москва;sale;flat;8;53;3;150.0;135000000;2011;-1;-1;-1;-1;-1;-1;+79154194125;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
Estes;real_estate_agent;https://www.cian.ru/sale/flat/302345285/;Москва;sale;flat;1;12;3;71.5;18500000;-1;-1;-1;-1;-1;35 м²;9,7 м²;+79623619912;Богородское;Малая Черкизовская ;66;Преображенская площадь;
MR Group;developer;https://www.cian.ru/sale/flat/307788179/;Москва;sale;flat;18;47;3;81.43;37261472;2027;-1;Монолитный;-1;Предчистовая;-1;-1;+74951377313;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308417951/;Москва;sale;flat;5;7;3;74.0;41500000;1928;-1;-1;-1;-1;49 м²;7 м²;+79645387315;"Кв-ра ""под ключ"" в Басманном е3-комн. квартира";74 м²;5/7 этаж;;
5 ДОНСКОЙ;developer;https://www.cian.ru/sale/flat/299380246/;Москва;sale;flat;12;75;3;96.05;51091300;2026;-1;Монолитный;-1;Предчистовая;-1;-1;+74951370056;Донской;5-й Донской проезд;вл21к6;Площадь Гагарина;The Five
SKYEST;real_estate_agent;https://www.cian.ru/sale/flat/302887883/;Москва;sale;flat;9;14;3;102.0;133500000;2022;-1;-1;-1;-1;71 м²;15 м²;+79645683616;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308878043/;Москва;sale;flat;13;21;3;76.1;76000000;2017;-1;-1;-1;-1;-1;-1;+79660619463;Пресненский;2-я Черногрязская ;6к4;Улица 1905 года;RedSide
Forma;developer;https://www.cian.ru/sale/flat/300215416/;Москва;sale;flat;23;27;3;78.1;32083870;2026;-1;-1;-1;Предчистовая;41,7 м²;-1;+74951374358;Аэропорт;Часовая ;28к8;Сокол;SOUL
