author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303715854/;Москва;sale;flat;9;10;3;132.0;75000000;-1;-1;-1;-1;-1;81 м²;10 м²;+79670580817;Мещанский;Олимпийский проспект;10к1-2;Цветной бульвар;
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303765205/;Москва;sale;flat;17;32;3;83.7;75000000;-1;-1;-1;-1;-1;-1;31,7 м²;+79851378721;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307098466/;Москва;sale;flat;4;4;3;117.0;75000000;-1;-1;-1;-1;-1;90 м²;20 м²;+79660641282;Басманный;Подсосенский переулок;11;Курская;Клубный дом il Ricco
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/299095732/;Москва;sale;flat;17;32;3;83.7;83700000;2023;-1;-1;-1;-1;47 м²;31,7 м²;+79164877692;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/289628414/;Москва;sale;flat;7;7;3;136.9;85000000;-1;-1;-1;-1;-1;-1;-1;+79099972948;Арбат;Новинский бульвар;28/35С1;Баррикадная;
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307436433/;Москва;sale;flat;2;19;3;93.0;87000000;-1;-1;-1;-1;-1;-1;10 м²;+79670580817;Раменки;Ломоносовский проспект;25к5;Университет;Dominion
Самолет плюс Троицк;real_estate_agent;https://www.cian.ru/sale/flat/305020761/;Москва;sale;flat;3;5;3;55.1;6999999;-1;-1;-1;-1;-1;40 м²;5 м²;+79660472370;;;5;Подольск;
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/305952052/;Москва;sale;flat;2;3;3;65.7;7750000;2021;-1;-1;-1;-1;-1;10,6 м²;+79652904123;; Генерала Донскова;23к3;Апрелевка;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/298213793/;Москва;sale;flat;4;17;3;59.6;9400000;2025;-1;-1;-1;Чистовая;38 м²;6,1 м²;+79853179865;;;к1;Филатов Луг;Квартал Марьино ЖК
