author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304064468/;Москва;sale;flat;2;4;3;134.0;136000000;-1;-1;-1;-1;-1;68,6 м²;30,4 м²;+79164691158;Арбат; Малая Молчановка;6;Арбатская;
Метриум Премиум Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308343502/;Москва;sale;flat;14;37;3;100.9;150000000;-1;-1;-1;-1;-1;-1;15 м²;+79858635928;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308709754/;Москва;sale;flat;5;8;3;125.3;158500000;2023;-1;-1;-1;-1;76,7 м²;10 м²;+79175836297;Таганский;Тессинский переулок;1;Чкаловская;Тессинский, 1
Stapler Estate;real_estate_agent;https://www.cian.ru/sale/flat/306172299/;Москва;sale;flat;2;6;3;165.0;400000000;2017;-1;-1;-1;-1;90 м²;25 м²;+79851852004;Хамовники;Курсовой переулок;10/1;Кропоткинская;Nabokov
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/305062304/;Москва;sale;flat;2;6;3;152.0;451634279;2003;-1;-1;-1;-1;-1;15 м²;+79684858420;Хамовники;Бутиковский переулок;5;Парк Культуры;Бутиковский 5
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/308934170/;Москва;sale;flat;8;9;3;56.9;11200000;1966;-1;-1;-1;-1;41,7 м²;6 м²;+79857048937;Восточное Измайлово;Сиреневый бульвар;62;Первомайская;
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/303487729/;Москва;sale;flat;30;41;3;76.8;39990000;2024;-1;-1;-1;Чистовая;50 м²;20 м²;+79167245598;Раменки;проезд 4-й Сетуньский;10Ас6;Кутузовская;Hide
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296826054/;Москва;sale;flat;2;7;3;98.0;43900000;-1;-1;-1;-1;-1;78 м²;15 м²;+79670580817;Донской;Ленинский проспект;35;Ленинский проспект;
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302444756/;Москва;sale;flat;2;10;3;105.5;44000000;1939;-1;-1;-1;-1;79,5 м²;21 м²;+79660548113;Таганский;Гончарная ;38;Таганская;
