author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/304734989/;Москва;sale;flat;13;24;3;64.8;24200000;2022;-1;-1;-1;-1;-1;20 м²;+79660515680;Донской;Новоданиловская набережная;8;Верхние котлы;Новоданиловская 8
Главстрой;developer;https://www.cian.ru/sale/flat/306715036/;Москва;sale;flat;2;29;3;111.6;45616028;2020;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;-1;-1;+74951387365;Филевский парк;Береговой проезд;3;Шелепиха;Береговой
St Michael;developer;https://www.cian.ru/sale/flat/304242338/;Москва;sale;flat;3;25;3;50.75;;2027;-1;Монолитно-кирпичный;-1;Без отделки;37,6 м²;5,2 м²;+74951379518;Хорошево-Мневники; Берзарина;37;Серебряный Бор;Квартал Серебряный Бор
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/305382889/;Москва;sale;flat;5;21;3;112.7;56500000;2024;-1;-1;-1;Без отделки;60,8 м²;20 м²;+79653835431;Хорошево-Мневники; Нижние Мневники;;Терехово ;Остров
FORMA;developer;https://www.cian.ru/sale/flat/308009054/;Москва;sale;flat;22;30;3;64.6;25894457;2027;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая;43,4 м²;-1;+74951379136;Щукино;проезд 4-й Красногорский;3;Стрешнево;Moments
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/302778267/;Москва;sale;flat;2;11;3;135.0;110000000;2009;-1;-1;-1;-1;79 м²;18 м²;+79163943419;Басманный;Казарменный переулок;3;Курская;Дом на Покровском бульваре
ДомДау;developer;https://www.cian.ru/sale/flat/290636673/;Москва;sale;flat;38;85;3;123.06;;2027;-1;Монолитный;-1;Черновая;-1;-1;+74951379093;Пресненский;Московский международный деловой центр Москва-Сити тер.;;;Дом Дау
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/246930837/;Москва;sale;flat;14;58;3;128.0;50000000;2014;-1;-1;-1;-1;-1;30 м²;+79169862459;Ростокино;проспект Мира;188Бк1;Ростокино;Триколор
FORMA;developer;https://www.cian.ru/sale/flat/305467204/;Москва;sale;flat;10;33;3;93.16;58271580;2025;-1;Монолитный;-1;Без отделки, предчистовая;37 м²;-1;+74951370018;Пресненский;к2.3;к2.3;Белорусская;Репаблик ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/305595945/;Москва;sale;flat;8;8;3;95.0;60000000;-1;-1;-1;-1;-1;79,1 м²;10,9 м²;+79162302629;Даниловский;2-й Павелецкий проезд;5С1;Крестьянская застава;RIVERDALE APARTMENTS
