author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Инвест груп;developer;https://mytishchi.cian.ru/sale/flat/299615411/;Московская Область;sale;flat;23;25;3;55.99;14065096;2025;-1;Монолитно-кирпичный;-1;Без отделки, предчистовая, чистовая;35 м²;7,7 м²;+74951384678;;;;Медведково;Кит 2 ЖК
Страна Девелопмент;developer;https://mytishchi.cian.ru/sale/flat/304570415/;Московская Область;sale;flat;2;25;3;65.13;14080000;2026;-1;Монолитный;-1;Черновая, чистовая;39,3 м²;5,5 м²;+74951387073;;;;Медведково;Страна.Парковая ЖК
INGRAD;developer;https://mytishchi.cian.ru/sale/flat/304075676/;Московская Область;sale;flat;13;20;3;67.8;14093299;2026;-1;Монолитный;-1;Без отделки, чистовая;-1;18,3 м²;+74951377553;;;;Медведково;Белый Grad ЖК
1-й ДСК;developer;https://khimki.cian.ru/sale/flat/303826049/;Московская Область;sale;flat;4;11;3;67.2;14011200;2027;-1;Панельный;-1;Предчистовая, чистовая;36 м²;10,4 м²;+74951374185;;;;Подрезково;1-й Шереметьевский
Самолет;developer;https://balashikha.cian.ru/sale/flat/308722055/;Московская Область;sale;flat;17;22;3;72.43;14081551;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, черновая, чистовая;38,7 м²;12,4 м²;+74997154380;;;к8;Некрасовка;Новоград Павлино
;;https://khimki.cian.ru/sale/flat/301024930/;Московская Область;sale;flat;1;5;3;95.55;14001018;2024;-1;Монолитно-кирпичный;-1;Без отделки;-1;-1;+78005116552;;;;Химки;Мишино-2
Монолит;developer;https://korolev.cian.ru/sale/flat/300573603/;Московская Область;sale;flat;4;8;3;88.9;14230500;2026;-1;-1;-1;Без отделки;46 м²;-1;+74951377532;;;;Щёлковская;КИНОКВАРТАЛ
